apple,jabłko,apfel
dog,pies,hund
cat,kot,katze
book,książka,buch
house,dom,haus
car,samochód,auto
water,woda,wasser
bread,chleb,brot
tree,drzewo,baum
sun,słońce,sonne
moon,księżyc,mond
star,gwiazda,stern
friend,przyjaciel,freund
city,miasto,stadt
street,ulica,straße
school,szkoła,schule
table,stół,tisch
chair,krzesło,stuhl
window,okno,fenster
door,drzwi,tür
mother,matka,mutter
father,ojciec,vater
child,dziecko,kind
time,czas,zeit
day,dzień,tag
night,noc,nacht
morning,rano,morgen
name,imię,name
color,kolor,farbe
number,liczba,nummer
